Algorithm,Queens_Size,Time,States,Optimal_solution
genetic_algorithm,4,0.0036547183990478516,6,1
hill_climbing,8,0.004106998443603516,5,False
simulated_annealing,8,0.014718294143676758,794,1
genetic_algorithm,8,1.739264965057373,276,1
hill_climbing,10,0.013371467590332031,7,False
simulated_annealing,10,0.06472587585449219,2501,False
genetic_algorithm,10,1.2982585430145264,101,1
hill_climbing,12,0.019789457321166992,5,False
simulated_annealing,12,0.143296480178833,4321,False
genetic_algorithm,12,2.961498498916626,126,1
hill_climbing,15,0.06602287292480469,7,False
simulated_annealing,15,0.4007568359375,8438,False
genetic_algorithm,15,4.190937042236328,92,1
hill_climbing,4,0.00013899803161621094,3,1
simulated_annealing,4,0.0007274150848388672,66,1
genetic_algorithm,4,0.0006470680236816406,2,1
hill_climbing,8,0.0022382736206054688,3,False
simulated_annealing,8,0.024402856826782227,1281,False
genetic_algorithm,8,0.09816670417785645,20,1
hill_climbing,10,0.00955820083618164,5,False
simulated_annealing,10,0.06252670288085938,2501,False
genetic_algorithm,10,0.14053058624267578,15,1
hill_climbing,12,0.02321171760559082,6,False
simulated_annealing,12,0.11372613906860352,3441,1
genetic_algorithm,12,9.697186708450317,379,1
hill_climbing,15,0.0929405689239502,10,False
simulated_annealing,15,0.40358519554138184,8438,False
genetic_algorithm,15,7.259532451629639,134,1
hill_climbing,4,0.00013136863708496094,2,False
simulated_annealing,4,0.00043582916259765625,39,1
genetic_algorithm,4,0.006204366683959961,9,1
hill_climbing,8,0.0038423538208007812,5,False
simulated_annealing,8,0.02053380012512207,1043,1
genetic_algorithm,8,0.2536137104034424,43,1
hill_climbing,10,0.007678031921386719,4,False
simulated_annealing,10,0.049957275390625,1902,1
genetic_algorithm,10,2.040463447570801,156,1
hill_climbing,12,0.026601314544677734,8,1
simulated_annealing,12,0.14328646659851074,4321,False
genetic_algorithm,12,36.51625895500183,1334,1
hill_climbing,15,0.09395146369934082,10,False
simulated_annealing,15,0.2882051467895508,6033,1
genetic_algorithm,15,6.113963603973389,121,1
hill_climbing,4,6.246566772460938e-05,1,False
simulated_annealing,4,0.00023174285888671875,23,1
genetic_algorithm,4,0.022624492645263672,29,1
hill_climbing,8,0.003687620162963867,6,1
simulated_annealing,8,0.010707855224609375,562,1
genetic_algorithm,8,0.06944942474365234,15,1
hill_climbing,10,0.009813070297241211,5,False
simulated_annealing,10,0.0346531867980957,1373,1
genetic_algorithm,10,1.7538750171661377,130,1
hill_climbing,12,0.02370476722717285,6,False
simulated_annealing,12,0.08585572242736816,2600,1
genetic_algorithm,12,2.8565597534179688,122,1
hill_climbing,15,0.08329510688781738,9,False
simulated_annealing,15,0.40175724029541016,8438,False
genetic_algorithm,15,10.89106559753418,197,1
hill_climbing,4,7.963180541992188e-05,2,1
simulated_annealing,4,0.0003535747528076172,34,1
genetic_algorithm,4,0.002222776412963867,4,1
hill_climbing,8,0.002416372299194336,3,False
simulated_annealing,8,0.02519059181213379,1281,False
genetic_algorithm,8,0.3133108615875244,57,1
hill_climbing,10,0.005886554718017578,3,False
simulated_annealing,10,0.06221723556518555,2501,False
genetic_algorithm,10,2.9737470149993896,216,1
hill_climbing,12,0.01950550079345703,5,False
simulated_annealing,12,0.14350152015686035,4321,False
genetic_algorithm,12,1.2006077766418457,58,1
hill_climbing,15,0.09243345260620117,10,False
simulated_annealing,15,0.4037654399871826,8438,False
genetic_algorithm,15,154.6308422088623,2539,1
hill_climbing,4,0.0001316070556640625,2,False
simulated_annealing,4,9.989738464355469e-05,10,1
genetic_algorithm,4,0.010427713394165039,12,1
hill_climbing,8,0.002404451370239258,3,False
simulated_annealing,8,0.006517171859741211,346,1
genetic_algorithm,8,0.8531262874603271,136,1
hill_climbing,10,0.011383533477783203,6,False
simulated_annealing,10,0.06311631202697754,2501,False
genetic_algorithm,10,15.637520551681519,1091,1
hill_climbing,12,0.01619434356689453,4,False
simulated_annealing,12,0.14660048484802246,4321,False
genetic_algorithm,12,1.7156319618225098,81,1
hill_climbing,15,0.057259321212768555,6,False
simulated_annealing,15,0.4061088562011719,8438,False
genetic_algorithm,15,12.064160585403442,230,1
hill_climbing,4,0.00017261505126953125,3,False
simulated_annealing,4,0.0003552436828613281,29,1
genetic_algorithm,4,0.018354177474975586,21,1
hill_climbing,8,0.0031163692474365234,4,False
