Algorithm,Queens_Size,Time,States
forward checking,4,0.0,8
backtracking,8,0.000997304916381836,876
forward checking,8,0.003989219665527344,113
backtracking,10,0.0010061264038085938,975
forward checking,10,0.003980398178100586,102
backtracking,12,0.002991914749145508,3066
forward checking,12,0.011968135833740234,261
backtracking,15,0.023936033248901367,20280
forward checking,15,0.07430672645568848,1359
backtracking,4,0.0,26
forward checking,4,0.000997781753540039,8
backtracking,8,0.0,876
forward checking,8,0.00498652458190918,113
backtracking,10,0.0009968280792236328,975
forward checking,10,0.003989219665527344,102
backtracking,12,0.0029921531677246094,3066
forward checking,12,0.012965202331542969,261
backtracking,15,0.023953676223754883,20280
forward checking,15,0.07224440574645996,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.0009949207305908203,876
forward checking,8,0.0029921531677246094,113
backtracking,10,0.000997304916381836,975
forward checking,10,0.003988504409790039,102
backtracking,12,0.0029926300048828125,3066
forward checking,12,0.011968374252319336,261
backtracking,15,0.02441120147705078,20280
forward checking,15,0.0718080997467041,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.000997304916381836,876
forward checking,8,0.004987239837646484,113
backtracking,10,0.0009970664978027344,975
forward checking,10,0.003989458084106445,102
backtracking,12,0.003988981246948242,3066
forward checking,12,0.010970354080200195,261
backtracking,15,0.024933576583862305,20280
forward checking,15,0.071807861328125,1359
backtracking,4,0.0,26
forward checking,4,0.0009970664978027344,8
backtracking,8,0.0,876
forward checking,8,0.003989458084106445,113
backtracking,10,0.0009975433349609375,975
forward checking,10,0.003989219665527344,102
backtracking,12,0.002991914749145508,3066
forward checking,12,0.010970592498779297,261
backtracking,15,0.02293848991394043,20280
forward checking,15,0.07280516624450684,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.000997304916381836,876
forward checking,8,0.003989458084106445,113
backtracking,10,0.0009970664978027344,975
forward checking,10,0.004987478256225586,102
backtracking,12,0.003988742828369141,3066
forward checking,12,0.011967897415161133,261
