run,episode,cumulative_reward,mean_waiting_time,elapsed_time
0,0,-4254.0,20.14915839653105,92.43966698646545
0,1,-360.0,20.206559387581844,82.19708943367004
0,2,-4120.0,19.67806982267447,92.12368416786194
0,3,6005.0,19.753139677588827,78.51394009590149
0,4,-832.0,19.187648558641857,89.39889168739319
0,5,996.0,18.28106201701238,82.92534184455872
0,6,-1534.0,19.969356724093107,86.87074279785156
0,7,-846.0,18.136198378970647,87.7996551990509
0,8,3641.0,19.0789934906968,84.70543551445007
0,9,-5899.0,18.534386226482102,80.32975602149963
0,10,2539.0,17.47594667110922,77.47367906570435
0,11,2629.0,17.670893746475336,62.183289766311646
0,12,-4045.0,16.874466735762788,64.50472474098206
0,13,3043.0,17.212476463412465,55.71591591835022
0,14,263.0,16.970479993956925,56.59270715713501
0,15,-6476.0,17.2793607551831,71.9147367477417
0,16,5796.0,16.72011706753861,49.356099128723145
0,17,163.0,16.50829443874744,68.0525803565979
0,18,-3023.0,17.071527535185243,76.38195824623108
0,19,2370.0,16.23657424185383,57.58141374588013
0,20,2684.0,15.118114653131924,58.68567752838135
0,21,-7617.0,16.360966674198046,62.1621036529541
0,22,5506.0,15.278596048994018,60.58634567260742
0,23,-1139.0,16.370703758190743,70.03007054328918
0,24,515.0,16.35418816212857,73.89840388298035
0,25,2725.0,15.14421071161822,44.84393858909607
0,26,-858.0,15.871374202829267,73.90075850486755
0,27,693.0,15.760943662108087,57.99369812011719
0,28,752.0,15.122635232919851,61.732866287231445
0,29,-5453.0,14.960267699587657,56.25498294830322
0,30,3803.0,14.720642257233658,54.32058596611023
0,31,-248.0,15.629873389287388,63.430619955062866
0,32,-101.0,14.331193576375684,67.7554612159729
0,33,-200.0,14.63106415726646,63.91573715209961
0,34,1000.0,15.267133066463137,57.447428703308105
0,35,586.0,13.875941580766023,56.54907274246216
0,36,-2179.0,14.118368415034343,46.14937138557434
0,37,1917.0,14.289194609291457,56.885828495025635
0,38,-3388.0,13.812146693690956,51.26216650009155
0,39,2728.0,14.389002162822461,54.161067485809326
0,40,-602.0,13.924032075312919,43.856483697891235
0,41,1640.0,13.598504387039785,51.58316898345947
0,42,-812.0,13.342263971558127,54.25186848640442
0,43,375.0,13.44075689584605,47.16405987739563
0,44,453.0,14.153410410254443,57.571765661239624
0,45,-2187.0,13.161871519890859,50.31501364707947
0,46,-2105.0,13.246426890154499,44.87064552307129
0,47,3707.0,13.704705942522487,57.38571619987488
0,48,-1309.0,13.275171642232086,54.57660794258118
0,49,673.0,13.36669129323417,48.57249402999878
0,50,-1343.0,13.599672707609924,50.637598514556885
0,51,135.0,12.943331818950636,51.87426471710205
0,52,2911.0,12.602486170572115,43.66792035102844
0,53,-770.0,13.088402787647286,54.347975969314575
0,54,-1728.0,13.30840755257999,56.20343732833862
0,55,-1463.0,12.847559408528145,52.35124444961548
0,56,3030.0,12.736471157957899,54.61555814743042
0,57,-1575.0,12.698467627846977,54.8359272480011
0,58,1514.0,12.583206185476163,52.60223031044006
0,59,438.0,12.443477046435651,47.94094944000244
0,60,-388.0,12.216634507386042,47.87673497200012
0,61,624.0,13.019373469625373,51.90773963928223
0,62,-197.0,12.437790281136511,53.61939215660095
0,63,-491.0,12.693988277102765,42.58360433578491
0,64,262.0,13.173418654361592,40.25042271614075
0,65,-1531.0,11.961671120644148,44.7284152507782
0,66,808.0,12.397394031279044,50.74261164665222
0,67,1130.0,12.441972713747019,53.09819841384888
0,68,-1211.0,12.207568779545966,52.10397171974182
0,69,-51.0,12.401591765370004,51.469913721084595
0,70,-498.0,12.043723693183635,43.01539349555969
0,71,-3395.0,12.315775491278348,46.39849495887756
0,72,5023.0,11.974044289817357,39.97243857383728
0,73,-77.0,11.788008195707413,41.71347784996033
0,74,-579.0,12.018400229340989,37.4099018573761
0,75,-377.0,11.963782763347089,45.625784397125244
0,76,1346.0,11.629129707225031,50.471970319747925
0,77,-270.0,11.654695502834436,41.73841905593872
0,78,394.0,11.788607113804519,49.62636470794678
0,79,-2396.0,12.031159583739818,46.08141303062439
0,80,1973.0,11.300682778020294,41.219107151031494
0,81,-195.0,11.503784980832005,39.77646827697754
0,82,-937.0,10.874248500485283,38.70841836929321
0,83,889.0,11.434618645733277,41.51574230194092
0,84,31.0,11.573296258050535,38.236149311065674
0,85,87.0,11.068622494576369,43.684587717056274
0,86,-718.0,10.991382919646513,45.16223478317261
0,87,81.0,11.238901565148971,45.01172637939453
0,88,-249.0,12.200464639102732,38.868051052093506
0,89,1085.0,11.56365981462059,42.050386905670166
0,90,-370.0,11.124816837165849,40.22198414802551
0,91,-882.0,11.031120816517259,43.8288140296936
0,92,439.0,11.543595146093685,43.35173964500427
