run,episode,cumulative_reward,mean_waiting_time,elapsed_time
0,0,-3061.0,20.76435020275633,86.74636340141296
0,1,-517.0,20.344162434750434,83.79933547973633
0,2,-407.0,19.71056991381342,80.79403519630432
0,3,-472.0,19.062500254807173,67.83988642692566
0,4,2732.0,18.98588523737106,83.94140362739563
0,5,-969.0,17.63237861576548,72.55854344367981
0,6,-3005.0,17.897152133270556,59.67028188705444
0,7,3277.0,18.2126639653929,64.57994866371155
0,8,-2082.0,17.989889216271575,60.49873661994934
0,9,1983.0,17.972255695324804,71.77716493606567
0,10,-1913.0,17.715154405803776,61.80297660827637
0,11,1956.0,17.56981261263632,65.79066848754883
0,12,508.0,17.868488876897366,67.69038414955139
0,13,-2811.0,17.03946876652055,58.508960247039795
0,14,784.0,16.728436099854388,58.848591804504395
0,15,919.0,16.7313183351855,69.61856746673584
0,16,1180.0,16.716304606249476,68.44574499130249
0,17,-721.0,15.921806168040886,61.85048317909241
0,18,-1743.0,17.146674899582877,83.87067103385925
0,19,3643.0,16.006606049802095,59.31865692138672
0,20,-1393.0,16.201702170333114,70.06078100204468
0,21,-1096.0,15.654707014694617,59.19677114486694
0,22,1942.0,15.355444327325252,58.132689237594604
0,23,-1167.0,15.082544788206755,67.07050085067749
0,24,-537.0,15.095975269044601,65.74045944213867
0,25,-436.0,15.437322801475974,66.83389592170715
0,26,-205.0,15.838828847263631,68.88402152061462
0,27,2195.0,15.029496319333914,54.289172410964966
0,28,254.0,14.361230238776127,59.61529016494751
0,29,-928.0,14.887517900534752,58.21666884422302
0,30,-823.0,14.971088800587447,54.38530397415161
0,31,1454.0,14.280048811091381,59.3766827583313
0,32,-834.0,14.548523930618789,68.90403032302856
0,33,-2587.0,13.988171590602207,51.865421295166016
0,34,2194.0,13.421298527342758,49.119447231292725
0,35,571.0,14.492997379345196,72.0269889831543
0,36,-1782.0,14.195741918864494,47.79555869102478
0,37,1800.0,13.477265720992749,56.04816651344299
0,38,-1268.0,13.707053026666609,55.707186460494995
0,39,2001.0,13.750137899701832,50.60197424888611
0,40,908.0,14.2078171144698,41.84196496009827
0,41,-343.0,13.534064124120556,53.97554659843445
0,42,-2550.0,13.20738368853575,48.77963352203369
0,43,2555.0,13.29175163803821,50.75128436088562
0,44,-3118.0,13.408480070296886,52.47036528587341
0,45,2532.0,12.86877935581326,43.72130370140076
